# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 5.00000000e+00
# Aref          : 5.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2.39286         	1.72228192e+00	8.61140959e-01	8.61140959e-01	1.17759149e-04	4.65534076e-05	7.12057418e-05	-1.23261671e-05	1.16308707e-19	1.17279898e-19	3.09353909e-19	2.71956853e-19	3.73970561e-20
2.42857         	1.71822632e+00	8.59113162e-01	8.59113162e-01	1.23536146e-04	4.99638307e-05	7.35723148e-05	-1.18042421e-05	1.04719023e-19	1.17968884e-19	2.86534910e-19	2.61236339e-19	2.52985708e-20
2.46429         	1.71479410e+00	8.57397050e-01	8.57397050e-01	1.21820531e-04	4.94228694e-05	7.23976618e-05	-1.14873962e-05	9.68085531e-20	1.17787891e-19	2.70289828e-19	2.52932805e-19	1.73570233e-20
2.5             	1.71136043e+00	8.55680216e-01	8.55680216e-01	1.26321991e-04	5.20981317e-05	7.42238597e-05	-1.10628640e-05	9.56538625e-20	1.17412122e-19	2.68793084e-19	2.51808664e-19	1.69844199e-20
2.53571         	1.70816145e+00	8.54080726e-01	8.54080726e-01	1.29319690e-04	5.40393703e-05	7.52803194e-05	-1.06204746e-05	9.45381179e-20	1.16918084e-19	2.67053961e-19	2.50445065e-19	1.66088963e-20
2.57143         	1.70486427e+00	8.52432135e-01	8.52432135e-01	1.31309559e-04	5.56405425e-05	7.56690164e-05	-1.00142370e-05	9.34230639e-20	1.17032566e-19	2.66625077e-19	2.50345105e-19	1.62799724e-20
2.60714         	1.70177855e+00	8.50889273e-01	8.50889273e-01	1.35620910e-04	5.77932239e-05	7.78276860e-05	-1.00172310e-05	9.23250398e-20	1.17088799e-19	2.66122990e-19	2.50150294e-19	1.59726959e-20
2.64286         	1.69918985e+00	8.49594926e-01	8.49594926e-01	1.33589769e-04	5.71738890e-05	7.64158804e-05	-9.62099570e-06	9.12446229e-20	1.16995305e-19	2.65370213e-19	2.49680411e-19	1.56898019e-20
2.67857         	1.69639473e+00	8.48197366e-01	8.48197366e-01	1.44429755e-04	6.29839202e-05	8.14458345e-05	-9.23095716e-06	9.01984379e-20	1.16771054e-19	2.64362223e-19	2.48952165e-19	1.54100579e-20
2.71429         	1.69409714e+00	8.47048571e-01	8.47048571e-01	1.44261605e-04	6.34067062e-05	8.08548985e-05	-8.72409618e-06	8.94480915e-20	1.16025778e-19	2.62259301e-19	2.47155429e-19	1.51038723e-20
2.75            	1.69172676e+00	8.45863382e-01	8.45863382e-01	1.44239406e-04	6.37057884e-05	8.05336177e-05	-8.41391465e-06	8.88513413e-20	1.14964253e-19	2.59509801e-19	2.44719154e-19	1.47906473e-20
2.78571         	1.68956296e+00	8.44781478e-01	8.44781478e-01	1.47260292e-04	6.54926324e-05	8.17676599e-05	-8.13751374e-06	8.83370281e-20	1.14193321e-19	2.57406361e-19	2.42896501e-19	1.45098597e-20
2.82143         	1.68746092e+00	8.43730461e-01	8.43730461e-01	1.49629053e-04	6.70748217e-05	8.25542316e-05	-7.73970495e-06	8.78536643e-20	1.13674350e-19	2.55899589e-19	2.41624145e-19	1.42754445e-20
2.85714         	1.68519437e+00	8.42597187e-01	8.42597187e-01	1.57179684e-04	7.13431732e-05	8.58365105e-05	-7.24666862e-06	8.73829542e-20	1.13167915e-19	2.54435339e-19	2.40385585e-19	1.40497541e-20
2.89286         	1.68369208e+00	8.41846042e-01	8.41846042e-01	1.54704607e-04	7.03033345e-05	8.44012721e-05	-7.04896880e-06	8.69375947e-20	1.12800375e-19	2.53321042e-19	2.39460896e-19	1.38601457e-20
2.92857         	1.68214138e+00	8.41070688e-01	8.41070688e-01	1.57571296e-04	7.21147975e-05	8.54564984e-05	-6.67085044e-06	8.64858435e-20	1.12393341e-19	2.52151503e-19	2.38469093e-19	1.36824102e-20
2.96429         	1.68059339e+00	8.40296696e-01	8.40296696e-01	1.61341735e-04	7.42939874e-05	8.70477473e-05	-6.37687997e-06	8.60230259e-20	1.12074208e-19	2.51186122e-19	2.37667269e-19	1.35188532e-20
3               	1.67916503e+00	8.39582516e-01	8.39582516e-01	1.63376802e-04	7.55911209e-05	8.77856815e-05	-6.09728031e-06	8.55531744e-20	1.11963894e-19	2.50690760e-19	2.37309274e-19	1.33814862e-20
3.03571         	1.67746393e+00	8.38731964e-01	8.38731964e-01	1.63315184e-04	7.59130260e-05	8.74021580e-05	-5.74456597e-06	8.50804694e-20	1.11971607e-19	2.50486208e-19	2.37214710e-19	1.32714972e-20
3.07143         	1.67593504e+00	8.37967519e-01	8.37967519e-01	1.71251074e-04	8.01810389e-05	9.10700350e-05	-5.44449810e-06	8.46198210e-20	1.11342706e-19	2.48841598e-19	2.35763505e-19	1.30780924e-20
3.10714         	1.67480116e+00	8.37400580e-01	8.37400580e-01	1.73392689e-04	8.16332317e-05	9.17594570e-05	-5.06311264e-06	8.41639338e-20	1.10439591e-19	2.46579197e-19	2.33729189e-19	1.28500075e-20
3.14286         	1.67398929e+00	8.36994646e-01	8.36994646e-01	1.75861235e-04	8.32706998e-05	9.25905352e-05	-4.65991770e-06	8.36312003e-20	1.09327329e-19	2.43852880e-19	2.31253769e-19	1.25991110e-20
3.17857         	1.67284488e+00	8.36422439e-01	8.36422439e-01	1.77967900e-04	8.47698820e-05	9.31980176e-05	-4.21406781e-06	8.31024823e-20	1.07821731e-19	2.40246897e-19	2.27945180e-19	1.23017175e-20
3.21429         	1.67207368e+00	8.36036841e-01	8.36036841e-01	1.81855057e-04	8.68370739e-05	9.50179833e-05	-4.09045470e-06	8.26057185e-20	1.06732162e-19	2.37631946e-19	2.25548135e-19	1.20838113e-20
3.25            	1.67111148e+00	8.35555739e-01	8.35555739e-01	1.82872742e-04	8.74079245e-05	9.54648175e-05	-4.02844651e-06	8.21234323e-20	1.05984418e-19	2.35799246e-19	2.23884041e-19	1.19152051e-20
3.28571         	1.67006746e+00	8.35033730e-01	8.35033730e-01	1.85338098e-04	8.86630661e-05	9.66750320e-05	-4.00598295e-06	8.15772829e-20	1.05418131e-19	2.34391860e-19	2.22614061e-19	1.17777995e-20
3.32143         	1.66922627e+00	8.34613135e-01	8.34613135e-01	1.88778622e-04	9.06459696e-05	9.81326526e-05	-3.74334150e-06	8.10327144e-20	1.04873484e-19	2.33033664e-19	2.21390316e-19	1.16433479e-20
3.35714         	1.66864287e+00	8.34321435e-01	8.34321435e-01	1.90624112e-04	9.18452715e-05	9.87788403e-05	-3.46678440e-06	8.04914665e-20	1.05344373e-19	2.34017763e-19	2.22353254e-19	1.16645083e-20
3.39286         	1.66813787e+00	8.34068934e-01	8.34068934e-01	1.90802576e-04	9.20275483e-05	9.87750274e-05	-3.37373952e-06	7.99645782e-20	1.05521645e-19	2.34341476e-19	2.22692383e-19	1.16490931e-20
3.42857         	1.66757131e+00	8.33785655e-01	8.33785655e-01	1.94215778e-04	9.40429558e-05	1.00172822e-04	-3.06493304e-06	7.94484835e-20	1.05482048e-19	2.34175074e-19	2.22569585e-19	1.16054892e-20
3.46429         	1.66715690e+00	8.33578450e-01	8.33578450e-01	1.95528303e-04	9.50239741e-05	1.00504329e-04	-2.74017744e-06	7.88722820e-20	1.05535760e-19	2.34217132e-19	2.22644326e-19	1.15728062e-20
3.5             	1.66703380e+00	8.33516898e-01	8.33516898e-01	2.00394648e-04	9.76640007e-05	1.02730648e-04	-2.53332347e-06	7.82725958e-20	1.05486913e-19	2.34065836e-19	2.22519831e-19	1.15460049e-20
3.53571         	1.66675457e+00	8.33377287e-01	8.33377287e-01	2.00761883e-04	9.81305733e-05	1.02631309e-04	-2.25036804e-06	7.77162284e-20	1.05336761e-19	2.33672853e-19	2.22173187e-19	1.14996658e-20
3.57143         	1.66617848e+00	8.33089241e-01	8.33089241e-01	2.02324175e-04	9.91336845e-05	1.03190491e-04	-2.02840302e-06	7.71831687e-20	1.05280718e-19	2.33497469e-19	2.22029453e-19	1.14680161e-20
3.60714         	1.66571361e+00	8.32856807e-01	8.32856807e-01	2.04197067e-04	1.00244002e-04	1.03953066e-04	-1.85453199e-06	7.66662503e-20	1.05111755e-19	2.33035884e-19	2.21629697e-19	1.14061871e-20
